Subject,Condition,time,Affect_Positive,Affect_Negative,Affect_Neutral,Communication_with_Instructor,Communication_with_Instructor_Prompted,Communication_with_Therapist,Communication_with_Indeterminent,Engagement_OnTarget,Engagement_Therapist,Engagement_OffTarget,Performance_Positive,Performance_Negative
1,1,1,0.156,0,0.843,0.12195122,0,0.024390244,0,0.809064634,0.014990244,0.175945122,0.888888889,0.111111111
1,1,2,0.095238095,0,0.904761905,0.178571429,0.011904762,0.047619048,0.023809524,0.785011919,0.052789035,0.162199047,1,0
1,1,3,0.232876712,0,0.767123288,0.150684932,0.02739726,0.136986301,0.02739726,0.737626027,0.106469863,0.15590411,0.857142857,0.142857143
1,1,4,0.14084507,0,0.85915493,0.185714286,0.014285714,0.042857143,0,0.740634286,0.091234286,0.168131429,0.933333333,0.066666667
2,1,1,0.320512821,0,0.67948718,0.074074074,0,0.271604938,0.024691358,0.71770375,0.0949475,0.18734875,0.416666667,0.5
2,1,2,0.325301205,0,0.674698795,0.120481928,0.024096386,0.072289157,0.036144578,0.779774699,0.067784337,0.152440964,0.652173913,0.347826087
2,1,3,0.256410256,0,0.743589744,0.076923077,0,0.128205128,0.025641026,0.912391026,0.049879487,0.037729487,0.555555556,0.444444444
2,1,4,0.185185185,0,0.814814815,0.160493827,0,0.061728395,0.012345679,0.734959259,0.062919753,0.202120988,0.482758621,0.517241379
3,1,1,0.0375,0.0625,0.925,0.170731707,0,0.073170732,0.06097561,0.80124125,0.0750025,0.12375625,1,0
3,1,2,0.066666667,0.011111111,0.922222222,0.088888889,0.044444444,0.066666667,0.011111111,0.761597778,0.035904444,0.202497778,0.95,0.05
3,1,3,0.04,0,0.96,0.133333333,0,0.08,0.013333333,0.828814667,0.021881333,0.149304,0.92,0.08
3,1,4,0.0625,0.0625,0.875,0.1875,0,0.109375,0,0.849909375,0.0781875,0.071903125,0.952380952,0.047619048
4,1,1,0.058139535,0,0.941860465,0.091954023,0,0.08045977,0.068965517,0.653041861,0.035925581,0.311032558,0.647058824,0.352941177
4,1,2,0.098765432,0,0.901234568,0.111111111,0.049382716,0.024691358,0,0.638693827,0.109030864,0.252275309,0.857142857,0.142857143
4,1,3,0.085714286,0,0.914285714,0.085714286,0.042857143,0.028571429,0.014285714,0.95019,0.0299,0.01991,0.875,0.125
4,1,4,0.142857143,0,0.857142857,0.128571429,0,0,0.014285714,0.93726,0.017644286,0.045095714,0.904761905,0.095238095
5,1,1,0.051282051,0.012820513,0.935897436,0.098765432,0.012345679,0.098765432,0,0.674134615,0.082564103,0.243301282,0.916666667,0.083333333
5,1,2,0.075,0.0125,0.9125,0.075,0.0125,0.0375,0.025,0.79818125,0.0364875,0.16533125,0.931034483,0.068965517
5,1,3,0.054794521,0,0.94520548,0.095890411,0.01369863,0.068493151,0,0.830384932,0.046558904,0.123056164,0.84,0.16
5,1,4,0.043478261,0,0.931,0.088235294,0,0,0.014705882,0.939236232,0.030101449,0.03126087,0.909090909,0.090909091
6,1,1,0.08974359,0,0.91025641,0.115384615,0,0.243589744,0.217948718,0.783712821,0.04075,0.17553718,0.75,0.25
6,1,2,0.141025641,0.025641026,0.833333333,0.103896104,0,0.025974026,0.038961039,0.794934615,0.023460256,0.181605128,0.793103448,0.206896552
6,1,3,0.086956522,0,0.913043478,0.057971014,0,0.028985507,0,0.762415942,0.082468116,0.155115942,0.772727273,0.227272727
6,1,4,0.043478261,0,0.956521739,0.014492754,0,0.028985507,0,0.529627536,0.054269565,0.416102899,0.714285714,0.285714286
1,2,1,0.129,0.003,0.868,0.128440367,0.009174312,0.027522936,0.055045872,0.730140367,0.092691743,0.17716789,0.928571429,0.071428571
